Age;Gender;Education Level;Job Title;Years of Experience;Salary;Country;Race
29.0;Male;Bachelor;Back end Developer;4.0;95000.0;USA;Asian
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;UK;Mixed
36.0;Male;Master;Back end Developer;9.0;150000.0;Canada;White
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;USA;African American
36.0;Male;Master;Back end Developer;9.0;150000.0;UK;White
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;USA;African American
36.0;Male;Master;Back end Developer;9.0;150000.0;China;Korean
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;Australia;Australian
36.0;Male;Master;Back end Developer;9.0;150000.0;Australia;Australian
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;Canada;Asian
36.0;Male;Master;Back end Developer;9.0;150000.0;Canada;Asian
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;UK;Asian
36.0;Male;Master;Back end Developer;9.0;150000.0;UK;Welsh
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;USA;Asian
36.0;Male;Master;Back end Developer;9.0;150000.0;Australia;Asian
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;Australia;Asian
36.0;Male;Master;Back end Developer;9.0;150000.0;UK;White
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;Canada;White
36.0;Male;Master;Back end Developer;9.0;150000.0;China;White
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;Canada;Black
27.0;Female;Bachelor;Back end Developer;3.0;80000.0;UK;White
35.0;Male;Master;Back end Developer;8.0;140000.0;UK;White
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;USA;White
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;Australia;White
34.0;Male;Master;Back end Developer;8.0;140000.0;Australia;Australian
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;UK;Asian
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;Canada;Black
34.0;Male;Master;Back end Developer;8.0;140000.0;Canada;White
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;China;White
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;USA;African American
34.0;Male;Master;Back end Developer;8.0;140000.0;USA;Hispanic
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;USA;Hispanic
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;UK;White
34.0;Male;Master;Back end Developer;8.0;140000.0;USA;White
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;China;Korean
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;Australia;White
34.0;Male;Master;Back end Developer;8.0;140000.0;Canada;White
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;Australia;White
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;China;Chinese
34.0;Male;Master;Back end Developer;8.0;140000.0;USA;Asian
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;Canada;White
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;USA;Hispanic
34.0;Male;Master;Back end Developer;8.0;140000.0;UK;Welsh
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;Canada;Black
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;China;Korean
34.0;Male;Master;Back end Developer;8.0;140000.0;UK;Asian
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;China;White
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;USA;Hispanic
34.0;Male;Master;Back end Developer;8.0;140000.0;UK;Welsh
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;USA;Asian
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;Australia;Australian
34.0;Male;Master;Back end Developer;8.0;140000.0;Canada;Black
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;China;Chinese
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;USA;African American
34.0;Male;Master;Back end Developer;8.0;140000.0;USA;African American
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;Australia;Asian
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;China;White
34.0;Male;Master;Back end Developer;8.0;140000.0;USA;Asian
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;UK;White
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;Australia;White
34.0;Male;Master;Back end Developer;8.0;140000.0;Canada;White
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;Canada;Asian
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;Australia;Asian
32.0;Male;Master;Back end Developer;7.0;120000.0;China;White
26.0;Male;Bachelor;Back end Developer;2.0;65000.0;Canada;Asian
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;Australia;Asian
34.0;Male;Master;Back end Developer;8.0;140000.0;Australia;White
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;China;Korean
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;UK;White
34.0;Male;Master;Back end Developer;8.0;140000.0;Canada;White
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;USA;Asian
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;Canada;Asian
34.0;Male;Master;Back end Developer;8.0;140000.0;USA;Hispanic
31.0;Male;Bachelor;Back end Developer;6.0;95000.0;China;Chinese
32.0;Male;Master;Back end Developer;7.0;120000.0;UK;Mixed
26.0;Male;Bachelor;Back end Developer;2.0;65000.0;UK;White
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;Canada;White
34.0;Male;Master;Back end Developer;8.0;140000.0;UK;White
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;UK;Welsh
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;Canada;White
34.0;Male;Master;Back end Developer;8.0;140000.0;UK;Welsh
30.0;Male;Bachelor;Back end Developer;5.0;100000.0;USA;White
27.0;Male;Bachelor;Back end Developer;3.0;80000.0;China;Chinese
34.0;Male;Master;Back end Developer;8.0;140000.0;UK;White
25.0;Male;Bachelor;Back end Developer;2.0;90249.0;China;White
49.0;Female;Bachelor;Back end Developer;19.0;120177.0;UK;Mixed
26.0;Male;Bachelor;Back end Developer;3.0;75072.0;USA;Hispanic
50.0;Male;Bachelor;Back end Developer;23.0;175966.0;China;Korean
28.0;Male;High School;Back end Developer;7.0;95845.0;UK;Asian
35.0;Female;Bachelor;Back end Developer;10.0;114776.0;Australia;Asian
52.0;Male;Bachelor;Back end Developer;25.0;168287.0;USA;White
24.0;Male;Master;Back end Developer;0.0;55538.0;USA;Asian
27.0;Male;Bachelor;Back end Developer;4.0;82683.0;UK;Mixed
22.0;Female;High School;Back end Developer;0.0;51832.0;UK;White
27.0;Female;Master;Back end Developer;4.0;73938.0;USA;Asian
31.0;Other;High School;Back end Developer;8.0;104127.0;Australia;White
34.0;Male;Bachelor;Back end Developer;10.0;94502.0;UK;Asian
25.0;Male;Bachelor;Back end Developer;2.0;90249.0;China;Chinese
49.0;Female;Bachelor;Back end Developer;19.0;120177.0;Canada;White
26.0;Male;Bachelor;Back end Developer;3.0;75072.0;Canada;Asian
50.0;Male;Bachelor;Back end Developer;23.0;175966.0;Australia;Asian
28.0;Male;High School;Back end Developer;7.0;95845.0;China;White
35.0;Female;Bachelor;Back end Developer;10.0;114776.0;USA;Asian
52.0;Male;Bachelor;Back end Developer;25.0;168287.0;USA;White
24.0;Male;Master;Back end Developer;0.0;55538.0;USA;Hispanic
27.0;Male;Bachelor;Back end Developer;4.0;82683.0;China;Chinese
22.0;Female;High School;Back end Developer;0.0;51832.0;USA;White
27.0;Female;Master;Back end Developer;4.0;73938.0;Canada;White
31.0;Other;High School;Back end Developer;8.0;104127.0;USA;African American
34.0;Male;Bachelor;Back end Developer;10.0;94502.0;UK;Welsh
34.0;Male;Bachelor;Back end Developer;10.0;126593.0;China;White
23.0;Female;High School;Back end Developer;2.0;62807.0;USA;African American
31.0;Male;Bachelor;Back end Developer;8.0;100052.0;Australia;Australian
46.0;Female;Bachelor;Back end Developer;19.0;150248.0;Australia;Asian
28.0;Male;Bachelor;Back end Developer;4.0;71699.0;Canada;Asian
27.0;Male;High School;Back end Developer;4.0;79767.0;USA;African American
38.0;Male;Bachelor;Back end Developer;12.0;131960.0;USA;Asian
24.0;Male;Bachelor;Back end Developer;2.0;63901.0;Canada;White
35.0;Male;Bachelor;Back end Developer;10.0;123386.0;USA;Hispanic
27.0;Male;Bachelor;Back end Developer;4.0;68732.0;UK;Mixed
31.0;Male;Master;Back end Developer;8.0;111535.0;Canada;Black
49.0;Male;Bachelor;Back end Developer;24.0;178284.0;USA;Asian
24.0;Female;Bachelor;Back end Developer;1.0;61095.0;Australia;Asian
27.0;Male;High School;Back end Developer;3.0;68611.0;UK;White
34.0;Male;Bachelor;Back end Developer;10.0;126520.0;China;Korean
23.0;Female;High School;Back end Developer;1.0;52807.0;UK;White
31.0;Male;Bachelor;Back end Developer;8.0;100679.0;China;Chinese
46.0;Female;Bachelor;Back end Developer;19.0;150729.0;Canada;White
28.0;Male;Bachelor;Back end Developer;4.0;72389.0;Canada;White
27.0;Male;High School;Back end Developer;4.0;80247.0;Australia;White
38.0;Male;Bachelor;Back end Developer;12.0;132442.0;UK;Welsh
24.0;Male;Bachelor;Back end Developer;2.0;64182.0;China;White
46.0;Female;Bachelor;Back end Developer;18.0;155795.0;UK;Mixed
38.0;Male;Bachelor;Back end Developer;14.0;136449.0;UK;White
24.0;Male;Bachelor;Back end Developer;1.0;55935.0;UK;Asian
46.0;Female;Bachelor;Back end Developer;18.0;155795.0;China;White
38.0;Male;Bachelor;Back end Developer;14.0;136449.0;China;Korean
24.0;Male;Bachelor;Back end Developer;1.0;55935.0;USA;Asian
34.0;Male;Bachelor;Back end Developer;10.0;126520.0;China;Chinese
23.0;Female;High School;Back end Developer;1.0;52807.0;UK;White
31.0;Male;Bachelor;Back end Developer;8.0;100679.0;USA;White
46.0;Female;Bachelor;Back end Developer;19.0;150729.0;Australia;Asian
28.0;Male;Bachelor;Back end Developer;4.0;72389.0;UK;Mixed
27.0;Male;High School;Back end Developer;4.0;80247.0;UK;Asian
38.0;Male;Bachelor;Back end Developer;12.0;132442.0;UK;Asian
24.0;Male;Bachelor;Back end Developer;2.0;64182.0;USA;Hispanic
46.0;Female;Bachelor;Back end Developer;18.0;155795.0;Canada;Asian
38.0;Male;Bachelor;Back end Developer;14.0;136449.0;China;Korean
24.0;Male;Bachelor;Back end Developer;1.0;55935.0;UK;White
46.0;Female;Bachelor;Back end Developer;18.0;155795.0;USA;White
38.0;Male;Bachelor;Back end Developer;14.0;136449.0;Canada;White
24.0;Male;Bachelor;Back end Developer;1.0;55935.0;China;Korean
34.0;Male;Bachelor;Back end Developer;10.0;126520.0;USA;African American
23.0;Female;High School;Back end Developer;1.0;52807.0;Australia;White
31.0;Male;Bachelor;Back end Developer;8.0;100679.0;Canada;White
46.0;Female;Bachelor;Back end Developer;19.0;150729.0;USA;Asian
28.0;Male;Bachelor;Back end Developer;4.0;72389.0;China;Chinese
27.0;Male;High School;Back end Developer;4.0;80247.0;Australia;Australian
38.0;Male;Bachelor;Back end Developer;12.0;132442.0;UK;Asian
24.0;Male;Bachelor;Back end Developer;2.0;64182.0;UK;Asian
33.0;Female;Master;Back end Developer;9.0;124141.0;Australia;Australian
42.0;Male;Bachelor;Back end Developer;16.0;137489.0;UK;Mixed
28.0;Female;Bachelor;Back end Developer;5.0;77766.0;USA;Hispanic
27.0;Male;Master;Back end Developer;5.0;87584.0;UK;White
42.0;Male;Bachelor;Back end Developer;18.0;150901.0;UK;Welsh
26.0;Male;Bachelor;Back end Developer;2.0;63789.0;Canada;Black
34.0;Female;Master;Business Analyst;5.0;80000.0;China;Korean
33.0;Male;Bachelor;Business Analyst;7.0;75000.0;Australia;Australian
33.0;Male;Master;Business Intelligence Analyst;7.0;85000.0;Australia;Australian
44.0;Male;PhD;Chief Data Officer;16.0;220000.0;USA;African American
52.0;Male;PhD;Chief Technology Officer;24.0;250000.0;Canada;Black
30.0;Female;Bachelor;Content Marketing Manager;3.0;55000.0;Australia;White
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;China;Chinese
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;Australia;Asian
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;Canada;Black
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;UK;White
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;China;White
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;Australia;White
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;USA;White
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;Australia;Australian
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;UK;Asian
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;UK;Asian
31.0;Female;Master;Content Marketing Manager;8.0;120000.0;Canada;Asian
29.0;Female;Master;Content Marketing Manager;4.0;80000.0;UK;Welsh
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;UK;White
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;Canada;Asian
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;USA;White
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;Canada;Asian
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;UK;Mixed
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;USA;Asian
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;Canada;Asian
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;Australia;Asian
27.0;Female;Master;Content Marketing Manager;4.0;80000.0;Australia;White
33.0;Male;Master;Content Marketing Manager;5.0;70000.0;Canada;Asian
44.0;Male;Bachelor;Content Marketing Manager;11.0;110000.0;USA;White
43.0;Female;Bachelor;Content Marketing Manager;12.0;120000.0;Australia;White
32.0;Male;Master;Content Marketing Manager;5.0;70000.0;UK;Welsh
41.0;Female;Bachelor;Content Marketing Manager;11.0;110000.0;Australia;Asian
46.0;Male;Master;Content Marketing Manager;16.0;160000.0;USA;White
33.0;Female;Master;Content Marketing Manager;6.0;75000.0;USA;Hispanic
43.0;Male;Master;Content Marketing Manager;16.0;160000.0;Australia;Asian
50.0;Female;Master;Content Marketing Manager;15.0;150000.0;China;Korean
32.0;Female;Bachelor;Content Marketing Manager;7.0;90000.0;Canada;White
41.0;Male;Bachelor;Content Marketing Manager;12.0;120000.0;China;Korean
50.0;Female;Master;Content Marketing Manager;19.0;190000.0;China;White
41.0;Male;Bachelor;Content Marketing Manager;12.0;120000.0;Canada;Asian
50.0;Female;Master;Content Marketing Manager;19.0;190000.0;Canada;Black
41.0;Male;Bachelor;Content Marketing Manager;12.0;120000.0;China;Chinese
50.0;Female;Master;Content Marketing Manager;19.0;190000.0;UK;Welsh
41.0;Male;Bachelor;Content Marketing Manager;12.0;120000.0;USA;African American
50.0;Female;Master;Content Marketing Manager;19.0;190000.0;Canada;Asian
41.0;Male;Bachelor;Content Marketing Manager;12.0;120000.0;Canada;Black
50.0;Female;Master;Content Marketing Manager;19.0;190000.0;UK;Welsh
41.0;Male;Bachelor;Content Marketing Manager;12.0;120000.0;UK;Mixed
50.0;Female;Master;Content Marketing Manager;19.0;190000.0;Australia;White
42.0;Male;PhD;Content Marketing Manager;15.0;150000.0;China;White
43.0;Male;Bachelor;Content Marketing Manager;14.0;140000.0;China;White
50.0;Female;Master;Content Marketing Manager;18.0;180000.0;Australia;Australian
32.0;Female;Bachelor;Content Marketing Manager;7.0;90000.0;China;White
41.0;Male;Bachelor;Content Marketing Manager;12.0;120000.0;Canada;White
50.0;Female;Master;Content Marketing Manager;19.0;190000.0;China;Chinese
41.0;Male;Bachelor;Content Marketing Manager;12.0;120000.0;USA;African American
50.0;Female;Master;Content Marketing Manager;19.0;190000.0;USA;White
41.0;Male;Bachelor;Content Marketing Manager;12.0;120000.0;Canada;Black
50.0;Female;Master;Content Marketing Manager;19.0;190000.0;Canada;White
41.0;Male;Bachelor;Content Marketing Manager;12.0;120000.0;UK;Welsh
50.0;Female;Master;Content Marketing Manager;19.0;190000.0;Canada;White
41.0;Male;Bachelor;Content Marketing Manager;12.0;120000.0;USA;White
50.0;Female;Master;Content Marketing Manager;19.0;190000.0;China;Chinese
41.0;Male;Bachelor;Content Marketing Manager;12.0;120000.0;Canada;Black
50.0;Female;Master;Content Marketing Manager;19.0;190000.0;China;White
43.0;Male;PhD;Content Marketing Manager;16.0;160000.0;China;Chinese
44.0;Male;Bachelor;Content Marketing Manager;15.0;150000.0;Canada;Asian
51.0;Female;Master;Content Marketing Manager;19.0;190000.0;UK;White
33.0;Female;Bachelor;Content Marketing Manager;7.0;90000.0;USA;Hispanic
42.0;Male;Bachelor;Content Marketing Manager;13.0;130000.0;Australia;Asian
51.0;Female;Master;Content Marketing Manager;19.0;190000.0;UK;White
33.0;Female;Bachelor;Content Marketing Manager;7.0;90000.0;UK;White
42.0;Male;Bachelor;Content Marketing Manager;13.0;130000.0;Canada;Asian
51.0;Female;Master;Content Marketing Manager;19.0;190000.0;Canada;Asian
33.0;Female;Bachelor;Content Marketing Manager;7.0;90000.0;UK;Welsh
42.0;Male;Bachelor;Content Marketing Manager;13.0;130000.0;UK;Asian
51.0;Female;Master;Content Marketing Manager;19.0;190000.0;UK;White
33.0;Female;Bachelor;Content Marketing Manager;7.0;90000.0;Australia;Australian
28.0;Female;Bachelor;Copywriter;2.0;40000.0;USA;White
42.0;Female;Master;Creative Director;14.0;120000.0;Canada;Black
28.0;Female;Master;Data Analyst;3.0;65000.0;USA;Hispanic
41.0;Female;Master;Data Analyst;13.0;80000.0;USA;White
27.0;Female;Bachelor;Data Analyst;2.0;110000.0;UK;Mixed
25.0;Female;Master;Data Analyst;1.0;100000.0;China;White
30.0;Female;Bachelor;Data Analyst;5.0;145000.0;USA;African American
25.0;Female;Master;Data Analyst;1.0;100000.0;Australia;Australian
30.0;Female;Bachelor;Data Analyst;5.0;145000.0;Australia;White
27.0;Male;Bachelor;Data Analyst;2.0;110000.0;USA;African American
25.0;Female;Master;Data Analyst;1.0;100000.0;Australia;Asian
30.0;Female;Bachelor;Data Analyst;5.0;145000.0;Canada;Asian
25.0;Female;Master;Data Analyst;1.0;100000.0;China;White
30.0;Female;Bachelor;Data Analyst;5.0;145000.0;Canada;White
27.0;Male;Bachelor;Data Analyst;2.0;110000.0;Australia;White
25.0;Female;Master;Data Analyst;1.0;100000.0;Canada;Black
30.0;Female;Bachelor;Data Analyst;5.0;145000.0;China;White
25.0;Female;Master;Data Analyst;1.0;100000.0;China;Chinese
30.0;Female;Bachelor;Data Analyst;5.0;145000.0;Australia;Australian
27.0;Male;Bachelor;Data Analyst;2.0;110000.0;China;White
25.0;Female;Master;Data Analyst;1.0;100000.0;Australia;Asian
30.0;Female;Bachelor;Data Analyst;5.0;145000.0;USA;White
25.0;Female;Master;Data Analyst;1.0;100000.0;UK;Mixed
30.0;Female;Bachelor;Data Analyst;5.0;145000.0;Australia;White
25.0;Female;Master;Data Analyst;1.0;100000.0;Australia;Australian
30.0;Female;Bachelor;Data Analyst;5.0;145000.0;Australia;Asian
27.0;Male;Bachelor;Data Analyst;2.0;110000.0;Australia;Asian
25.0;Female;Master;Data Analyst;1.0;100000.0;UK;Welsh
30.0;Female;Bachelor;Data Analyst;5.0;145000.0;Australia;White
25.0;Female;Master;Data Analyst;1.0;100000.0;Canada;Asian
30.0;Female;Bachelor;Data Analyst;5.0;145000.0;China;Chinese
25.0;Female;Master;Data Analyst;1.0;100000.0;UK;White
30.0;Female;Bachelor;Data Analyst;5.0;145000.0;USA;White
25.0;Female;Master;Data Analyst;1.0;100000.0;Australia;Asian
30.0;Female;Bachelor;Data Analyst;5.0;145000.0;China;Chinese
25.0;Female;Master;Data Analyst;1.0;100000.0;China;Korean
30.0;Female;Bachelor;Data Analyst;5.0;145000.0;USA;Hispanic
26.0;Male;Bachelor;Data Analyst;3.0;130000.0;Australia;Australian
24.0;Male;Bachelor;Data Analyst;1.0;90000.0;China;Chinese
25.0;Male;Bachelor;Data Analyst;2.0;110000.0;USA;Hispanic
23.0;Male;Bachelor;Data Analyst;1.0;95000.0;China;Korean
26.0;Male;Bachelor;Data Analyst;3.0;130000.0;Canada;Black
24.0;Male;Bachelor;Data Analyst;1.0;90000.0;China;White
25.0;Male;Bachelor;Data Analyst;2.0;110000.0;China;Chinese
31.0;Male;Bachelor;Data Analyst;9.0;195000.0;China;Korean
26.0;Female;Bachelor;Data Analyst;3.0;130000.0;Australia;White
25.0;Female;Bachelor;Data Analyst;2.0;110000.0;China;Korean
30.0;Male;Bachelor;Data Analyst;5.0;160000.0;USA;African American
24.0;Male;Bachelor;Data Analyst;1.0;90000.0;USA;African American
26.0;Male;Bachelor;Data Analyst;3.0;130000.0;Canada;White
25.0;Male;Bachelor;Data Analyst;2.0;110000.0;Australia;White
31.0;Male;Bachelor;Data Analyst;9.0;195000.0;Canada;Asian
26.0;Male;Bachelor;Data Analyst;3.0;130000.0;Australia;Australian
24.0;Male;Bachelor;Data Analyst;1.0;90000.0;China;White
25.0;Female;Bachelor;Data Analyst;2.0;110000.0;Australia;White
31.0;Male;Bachelor;Data Analyst;9.0;195000.0;UK;Asian
26.0;Male;Bachelor;Data Analyst;3.0;130000.0;Canada;White
24.0;Male;Bachelor;Data Analyst;1.0;90000.0;UK;Welsh
25.0;Female;Bachelor;Data Analyst;2.0;110000.0;USA;African American
31.0;Male;Bachelor;Data Analyst;9.0;195000.0;China;Chinese
26.0;Male;Bachelor;Data Analyst;3.0;130000.0;UK;Asian
24.0;Male;Bachelor;Data Analyst;1.0;90000.0;China;Korean
25.0;Female;Bachelor;Data Analyst;2.0;110000.0;USA;Hispanic
31.0;Male;Bachelor;Data Analyst;9.0;195000.0;UK;Asian
26.0;Male;Bachelor;Data Analyst;3.0;130000.0;Australia;Australian
24.0;Male;Bachelor;Data Analyst;1.0;90000.0;Canada;White
25.0;Male;Bachelor;Data Analyst;2.0;125000.0;UK;White
24.0;Male;Bachelor;Data Analyst;1.0;95000.0;UK;Mixed
26.0;Male;Bachelor;Data Analyst;3.0;130000.0;Canada;Asian
23.0;Male;Bachelor;Data Analyst;1.0;90000.0;Canada;Asian
26.0;Male;Bachelor;Data Analyst;3.0;135000.0;Canada;Asian
24.0;Male;Bachelor;Data Analyst;1.0;90000.0;Australia;White
25.0;Male;Bachelor;Data Analyst;2.0;115000.0;China;Korean
31.0;Male;Bachelor;Data Analyst;9.0;195000.0;UK;Asian
26.0;Female;Bachelor;Data Analyst;3.0;130000.0;Canada;Asian
